model,epoch,split,metric,value
pod_deeponet,52,train,relative_l2,0.12426462322473526
pod_deeponet,52,validation,relative_l2,0.23600111603736879
pod_deeponet,53,train,relative_l2,0.14500905871391295
pod_deeponet,53,validation,relative_l2,0.23583102822303773
pod_deeponet,54,train,relative_l2,0.13708754479885102
pod_deeponet,54,validation,relative_l2,0.22260465025901793
pod_deeponet,55,train,relative_l2,0.14308803305029869
pod_deeponet,55,validation,relative_l2,0.25497242212295534
pod_deeponet,56,train,relative_l2,0.14812869876623153
pod_deeponet,56,validation,relative_l2,0.2375389575958252
pod_deeponet,57,train,relative_l2,0.1351434223353863
pod_deeponet,57,validation,relative_l2,0.25047404766082765
pod_deeponet,58,train,relative_l2,0.13977633342146872
pod_deeponet,58,validation,relative_l2,0.23979095816612245
pod_deeponet,59,train,relative_l2,0.13536621779203414
pod_deeponet,59,validation,relative_l2,0.23918801844120025
pod_deeponet,60,train,relative_l2,0.1366986021399498
pod_deeponet,60,validation,relative_l2,0.22438716292381286
pod_deeponet,61,train,relative_l2,0.1289255551993847
pod_deeponet,61,validation,relative_l2,0.23069623112678528
pod_deeponet,62,train,relative_l2,0.1349535807967186
pod_deeponet,62,validation,relative_l2,0.23956403136253357
pod_deeponet,63,train,relative_l2,0.12887794747948647
pod_deeponet,63,validation,relative_l2,0.22300150692462922
pod_deeponet,64,train,relative_l2,0.11991207003593445
pod_deeponet,64,validation,relative_l2,0.22122644186019896
pod_deeponet,65,train,relative_l2,0.12634780183434485
pod_deeponet,65,validation,relative_l2,0.21742192208766936
pod_deeponet,66,train,relative_l2,0.1259489119052887
pod_deeponet,66,validation,relative_l2,0.23292087614536286
pod_deeponet,67,train,relative_l2,0.12552545294165612
pod_deeponet,67,validation,relative_l2,0.23807672262191773
pod_deeponet,68,train,relative_l2,0.1370397351682186
pod_deeponet,68,validation,relative_l2,0.2251766562461853
pod_deeponet,69,train,relative_l2,0.13407938480377196
pod_deeponet,69,validation,relative_l2,0.24529867768287658
pod_deeponet,70,train,relative_l2,0.14735172539949418
pod_deeponet,70,validation,relative_l2,0.25024713277816774
pod_deeponet,71,train,relative_l2,0.13809920623898506
pod_deeponet,71,validation,relative_l2,0.22830671668052674
pod_deeponet,72,train,relative_l2,0.12222354635596275
pod_deeponet,72,validation,relative_l2,0.2300610989332199
pod_deeponet,73,train,relative_l2,0.11907169371843337
pod_deeponet,73,validation,relative_l2,0.2117078810930252
pod_deeponet,74,train,relative_l2,0.11224649623036384
pod_deeponet,74,validation,relative_l2,0.20879603624343873
pod_deeponet,75,train,relative_l2,0.11443236470222473
pod_deeponet,75,validation,relative_l2,0.23553483188152313
pod_deeponet,76,train,relative_l2,0.11832563206553459
pod_deeponet,76,validation,relative_l2,0.2571593880653381
pod_deeponet,77,train,relative_l2,0.1387862406671047
pod_deeponet,77,validation,relative_l2,0.26687475144863126
pod_deeponet,78,train,relative_l2,0.14556573703885078
pod_deeponet,78,validation,relative_l2,0.22560054659843445
pod_deeponet,79,train,relative_l2,0.13665100783109665
pod_deeponet,79,validation,relative_l2,0.25104808807373047
pod_deeponet,80,train,relative_l2,0.12953821793198586
pod_deeponet,80,validation,relative_l2,0.26674650311470033
